text,label
"Quantum mechanics is a fundamental theory that describes the behavior of nature at and below the scale of atoms.: 1.1  It is the foundation of all quantum physics, which includes quantum chemistry, quantum field theory, quantum technology, and quantum information science.
Quantum mechanics can describe many systems that classical physics cannot",Quantum Mechanics
"Classical physics can describe many aspects of nature at an ordinary (macroscopic and (optical) microscopic) scale, but is not sufficient for describing them at very small submicroscopic (atomic and subatomic) scales",Quantum Mechanics
"Most theories in classical physics can be derived from quantum mechanics as an approximation, valid at large (macroscopic/microscopic) scale.
Quantum systems have bound states that are quantized to discrete values of energy, momentum, angular momentum, and other quantities, in contrast to classical systems where these quantities can be measured continuously",Quantum Mechanics
"Measurements of quantum systems show characteristics of both particles and waves (wave–particle duality), and there are limits to how accurately the value of a physical quantity can be predicted prior to its measurement, given a complete set of initial conditions (the uncertainty principle).
Quantum mechanics arose gradually from theories to explain observations that could not be reconciled with classical physics, such as Max Planck's solution in 1900 to the black-body radiation problem, and the correspondence between energy and frequency in Albert Einstein's 1905 paper, which explained the photoelectric effect",Quantum Mechanics
"These early attempts to understand microscopic phenomena, now known as the ""old quantum theory"", led to the full development of quantum mechanics in the mid-1920s by Niels Bohr, Erwin Schrödinger, Werner Heisenberg, Max Born, Paul Dirac and others",Quantum Mechanics
The modern theory is formulated in various specially developed mathematical formalisms,Quantum Mechanics
"In one of them, a mathematical entity called the wave function provides information, in the form of probability amplitudes, about what measurements of a particle's energy, momentum, and other physical properties may yield.


== Overview and fundamental concepts ==
Quantum mechanics allows the calculation of properties and behaviour of physical systems",Quantum Mechanics
"It is typically applied to microscopic systems: molecules, atoms and sub-atomic particles",Quantum Mechanics
"It has been demonstrated to hold for complex molecules with thousands of atoms, but its application to human beings raises philosophical problems, such as Wigner's friend, and its application to the universe as a whole remains speculative",Quantum Mechanics
Predictions of quantum mechanics have been verified experimentally to an extremely high degree of accuracy,Quantum Mechanics
"For example, the refinement of quantum mechanics for the interaction of light and matter, known as quantum electrodynamics (QED), has been shown to agree with experiment to within 1 part in 1012 when predicting the magnetic properties of an electron.
A fundamental feature of the theory is that it usually cannot predict with certainty what will happen, but only give probabilities",Quantum Mechanics
"Mathematically, a probability is found by taking the square of the absolute value of a complex number, known as a probability amplitude",Quantum Mechanics
"This is known as the Born rule, named after physicist Max Born",Quantum Mechanics
"For example, a quantum particle like an electron can be described by a wave function, which associates to each point in space a probability amplitude",Quantum Mechanics
Applying the Born rule to these amplitudes gives a probability density function for the position that the electron will be found to have when an experiment is performed to measure it,Quantum Mechanics
This is the best the theory can do; it cannot say for certain where the electron will be found,Quantum Mechanics
"The Schrödinger equation relates the collection of probability amplitudes that pertain to one moment of time to the collection of probability amplitudes that pertain to another.: 67–87 
One consequence of the mathematical rules of quantum mechanics is a tradeoff in predictability between measurable quantities",Quantum Mechanics
"The most famous form of this uncertainty principle says that no matter how a quantum particle is prepared or how carefully experiments upon it are arranged, it is impossible to have a precise prediction for a measurement of its position and also at the same time for a measurement of its momentum.: 427–435 

Another consequence of the mathematical rules of quantum mechanics is the phenomenon of quantum interference, which is often illustrated with the double-slit experiment",Quantum Mechanics
"In the basic version of this experiment, a coherent light source, such as a laser beam, illuminates a plate pierced by two parallel slits, and the light passing through the slits is observed on a screen behind the plate.: 102–111 : 1.1–1.8  The wave nature of light causes the light waves passing through the two slits to interfere, producing bright and dark bands on the screen – a result that would not be expected if light consisted of classical particles",Quantum Mechanics
"However, the light is always found to be absorbed at the screen at discrete points, as individual particles rather than waves; the interference pattern appears via the varying density of these particle hits on the screen",Quantum Mechanics
"Furthermore, versions of the experiment that include detectors at the slits find that each detected photon passes through one slit (as would a classical particle), and not through both slits (as would a wave).: 109  However, such experiments demonstrate that particles do not form the interference pattern if one detects which slit they pass through",Quantum Mechanics
"In addition to light, electrons, atoms, and molecules are all found to exhibit the same dual behavior when fired towards a double slit.

Another non-classical phenomenon predicted by quantum mechanics is quantum tunnelling: a particle that goes up against a potential barrier can cross it, even if its kinetic energy is smaller than the maximum of the potential",Quantum Mechanics
"Quantum tunnelling has several important consequences, enabling radioactive decay, nuclear fusion in stars, and applications such as scanning tunnelling microscopy, tunnel diode and tunnel field-effect transistor.
When quantum systems interact, the result can be the creation of quantum entanglement: their properties become so intertwined that a description of the whole solely in terms of the individual parts is no longer possible",Quantum Mechanics
"Erwin Schrödinger called entanglement ""...the characteristic trait of quantum mechanics, the one that enforces its entire departure from classical lines of thought""",Quantum Mechanics
"Quantum entanglement enables quantum computing and is part of quantum communication protocols, such as quantum key distribution and superdense coding",Quantum Mechanics
"Contrary to popular misconception, entanglement does not allow sending signals faster than light, as demonstrated by the no-communication theorem.
Another possibility opened by entanglement is testing for ""hidden variables"", hypothetical properties more fundamental than the quantities addressed in quantum theory itself, knowledge of which would allow more exact predictions than quantum theory provides",Quantum Mechanics
"A collection of results, most significantly Bell's theorem, have demonstrated that broad classes of such hidden-variable theories are in fact incompatible with quantum physics",Quantum Mechanics
"According to Bell's theorem, if nature actually operates in accord with any theory of local hidden variables, then the results of a Bell test will be constrained in a particular, quantifiable way",Quantum Mechanics
"Many Bell tests have been performed and they have shown results incompatible with the constraints imposed by local hidden variables.
It is not possible to present these concepts in more than a superficial way without introducing the mathematics involved; understanding quantum mechanics requires not only manipulating complex numbers, but also linear algebra, differential equations, group theory, and other more advanced subjects",Quantum Mechanics
"Accordingly, this article will present a mathematical formulation of quantum mechanics and survey its application to some useful and oft-studied examples.


== Mathematical formulation ==

In the mathematically rigorous formulation of quantum mechanics, the state of a quantum mechanical system is a vector 
  
    
      
        ψ
      
    
    {\displaystyle \psi }
  
 belonging to a (separable) complex Hilbert space 
  
    
      
        
          
            H
          
        
      
    
    {\displaystyle {\mathcal {H}}}
  
",Quantum Mechanics
