Domain,Model,Coherence,NPMI,U_Mass
academy,BERTopic,0.9293077223830752,0.05026177622608702,-0.9971582557068067
academy,BERTopic,0.9293077223830752,0.05026177622608702,-0.9971582557068067
academy,VAE,0.9178464483331751,0.35695266009636023,-1.5381265082043214
academy,VAE,0.9178464483331751,0.35695266009636023,-1.5381265082043214
media,BERTopic,0.9400709595945147,0.07015770256306095,-1.4429599475255506
media,BERTopic,0.9400709595945147,0.07015770256306095,-1.4429599475255506
media,VAE,0.9174981236457823,0.3390043251281328,-1.3171832041614306
media,VAE,0.9174981236457823,0.3390043251281328,-1.3171832041614306
news,BERTopic,0.9092766364415487,0.390521688083828,-1.4205992607256823
news,BERTopic,0.9092766364415487,0.390521688083828,-1.4205992607256823
news,VAE,0.8914602504836188,0.5565177157660189,-1.212032352416267
news,VAE,0.8914602504836188,0.5565177157660189,-1.212032352416267
